Date,Price - Close,Price - High,Price - Low,Price to Earnings Ratio,Enterprise Value to Sales
2/13/2018,2662.94,2668.84,2637.08,17.08672955,2.368864594
2/14/2018,2698.63,2702.1,2648.87,17.30302229,2.392401918
2/15/2018,2731.2,2731.51,2689.82,17.48782138,2.420095942
2/16/2018,2732.22,2754.42,2725.11,17.47649662,2.41991369
2/20/2018,2716.26,2737.6,2706.76,17.35496009,2.404349685
2/21/2018,2701.33,2747.75,2701.29,17.25633088,2.390743541
2/22/2018,2703.96,2731.26,2697.77,17.2648067,2.395245103
2/23/2018,2747.3,2747.76,2713.74,17.51866233,2.427802697
2/26/2018,2779.6,2780.64,2753.78,17.70070588,2.450846537
2/27/2018,2744.28,2789.15,2744.22,17.474872,2.422826127
2/28/2018,2713.83,2761.52,2713.54,17.28452512,2.40200243
3/1/2018,2677.67,2730.89,2659.65,17.04570436,2.375998034
3/2/2018,2691.25,2696.25,2647.32,17.12669152,2.38649913
3/5/2018,2720.94,2728.09,2675.75,17.29945391,2.407924755
3/6/2018,2728.12,2732.08,2711.26,17.34075726,2.413476832
3/7/2018,2726.8,2730.6,2701.74,17.33146422,2.414769695
3/8/2018,2738.97,2740.45,2722.65,17.41218344,2.426182174
3/9/2018,2786.57,2786.57,2751.54,17.70651033,2.458528259
3/12/2018,2783.02,2796.98,2779.26,17.67353802,2.456858573
3/13/2018,2765.31,2801.9,2758.68,17.55564489,2.444351631
3/14/2018,2749.48,2777.11,2744.38,17.44782572,2.433675637
3/15/2018,2747.33,2763.03,2741.47,17.43121382,2.430902802
3/16/2018,2752.01,2761.85,2749.97,17.46254649,2.435805861
3/19/2018,2712.92,2741.38,2694.59,17.19897721,2.40259322
3/20/2018,2716.94,2724.22,2710.05,17.21208885,2.405051871
3/21/2018,2711.93,2739.14,2709.79,17.16737158,2.399708813
3/22/2018,2643.69,2695.68,2641.59,16.72738891,2.35062219
3/23/2018,2588.26,2657.67,2585.89,16.36523579,2.309075171
3/26/2018,2658.55,2661.36,2601.81,16.79815591,2.359918494
3/27/2018,2612.62,2674.78,2596.12,16.49376342,2.323736529
3/28/2018,2605,2632.65,2593.06,16.43690398,2.314807876
3/29/2018,2640.87,2659.07,2609.72,16.66292608,2.343583719
4/2/2018,2581.88,2638.3,2553.8,16.26942661,2.291832447
4/3/2018,2614.45,2619.14,2575.49,16.46937829,2.315425206
4/4/2018,2644.69,2649.86,2573.61,16.65475508,2.337840838
4/5/2018,2662.84,2672.08,2649.58,16.76437662,2.352076237
4/6/2018,2604.47,2656.88,2586.27,16.39467224,2.307629161
4/9/2018,2613.16,2653.55,2610.79,16.42842152,2.311597641
4/10/2018,2656.87,2665.45,2635.78,16.69678681,2.34484818
4/11/2018,2642.19,2661.43,2639.25,16.5879143,2.334834071
4/12/2018,2663.99,2674.72,2653.83,16.71851313,2.347568287
4/13/2018,2656.3,2680.26,2645.05,16.669056,2.345064734
4/16/2018,2677.84,2686.49,2665.16,16.79287962,2.360993954
4/17/2018,2706.39,2713.34,2692.05,16.9700331,2.386810718
4/18/2018,2708.64,2717.49,2703.63,16.97098177,2.389460007
4/19/2018,2693.13,2702.84,2681.9,16.86664844,2.372630076
4/20/2018,2670.14,2693.94,2660.61,16.70403268,2.350373135
4/23/2018,2670.29,2682.86,2657.99,16.68328149,2.344897958
4/24/2018,2634.56,2683.55,2617.32,16.42527893,2.306288212
4/25/2018,2639.4,2645.3,2612.67,16.42905209,2.308127061
4/26/2018,2666.94,2676.48,2647.16,16.57486042,2.329219158
4/27/2018,2669.91,2677.35,2659.01,16.53251782,2.330918963
4/30/2018,2648.05,2682.92,2648.04,16.38821093,2.311759036
5/1/2018,2654.8,2655.27,2625.41,16.42477854,2.317202862
5/2/2018,2635.67,2660.87,2631.7,16.27875324,2.304310292
5/3/2018,2629.73,2637.14,2594.62,16.24843591,2.301339259
5/4/2018,2663.42,2670.93,2615.32,16.45015624,2.327622178
5/7/2018,2672.63,2683.35,2664.7,16.499178,2.332726168
5/8/2018,2671.92,2676.34,2655.2,16.4913937,2.329937417
5/9/2018,2697.79,2701.27,2674.14,16.64252379,2.347499724
5/10/2018,2723.07,2726.11,2704.54,16.78191244,2.366016174
5/11/2018,2727.72,2732.86,2717.45,16.78763985,2.367075236
5/14/2018,2730.13,2742.1,2725.47,16.78230384,2.378298199
5/15/2018,2711.45,2718.59,2701.91,16.65801162,2.361891583
5/16/2018,2722.46,2727.76,2712.17,16.71397427,2.370167196
5/17/2018,2720.13,2731.96,2711.36,16.68621423,2.368633978
5/18/2018,2712.97,2719.5,2709.18,16.62896706,2.363989198
5/21/2018,2733.01,2739.19,2725.7,16.73942774,2.379267393
5/22/2018,2724.44,2742.24,2721.88,16.67446784,2.366542695
5/23/2018,2733.29,2733.33,2709.54,16.72674295,2.375995498
5/24/2018,2727.76,2731.97,2707.38,16.68772871,2.370887923
5/25/2018,2721.33,2727.36,2714.99,16.64830156,2.366382789
